"","农林牧渔","工业","建筑业","批发和零售贸易业","交通运输","住宿和餐饮业","金融保险业","房地产业","其他"
"1",134255930.511,1559246670.6,242954145.93,71763918.732,98126449.86,51769214.691,30764192.793,19861622.166,260871831.18
"2",149031339.939,1979300158.2,270529832.28,64901039.07,120449970.651,61015419.9,35154256.581,19962701.934,323183744.61
"3",163804584.81,2399353645.8,298099417.62,58039201.521,142770913.38,70259969.019,39543811.488,20063459.991,385493242.23
"4",183070661.871,3174063242.4,390092561.52,86520644.97,158626176.24,81373558.29,50020106.88,22308547.923,406715620.95
"5",202338972.579,3948772839,482085980.31,115001590.98,174480100.92,92487147.561,60497007.423,24553872.369,427937039.37
"6",230846174.82,4655637973.8,573662963.61,118223365.662,215772291.63,107005479.771,78017675.571,40834781.856,495422783.79
"7",259353339.12,5362496040.9,665240154.93,121445689.53,257062926.48,121525558.749,95539233.741,57116555.169,562906629.6
"8",315493831.92,6574971964.5,760549396.53,127505963.13,315266393.76,137837757.909,113896912.977,76961177.289,636530640
"9",331082467.77,6830213140.2,891425077.41,129621647.421,339099693.21,154526112.6,131286239.19,93975727.176,702193089.69
"10",380551262.97,7008514331.4,1049603076.99,405544176.33,220982252.67,138685397.13,235047183.54,103752926.172,979963642.44
"11",439871864.1,7716194510.7,1169508180.54,536959035.9,185436692.46,138784303.74,301037605.89,129236353.539,1149347826.6
"12",439066421.04,8539730778.3,1436702962.71,476210002.74,337926282.72,165652721.7,280857737.34,144891400.17,1304379329.7
"13",444091594.62,8950701546.9,1597514380.89,509060275.92,394856896.74,178439993.43,310097700.48,168479769.75,1466460056.4
"14",478748624.43,9595215965.1,1774605999.51,554962715.46,447751029.51,192191737.5,319339755.03,187929486.96,1630451817.9
"15",433357809.87,8902082168.4,1781496686.31,570918110.52,397604070.12,247544145.75,398432350.44,197945337.48,1905901964.1
